country_code,country,year,inflation,gfcf,gov_exp,life_expectancy,gdp_per_capita
ROU,Romania,YR2011,5.7892532881588,26.8261605478035,10.3093748092651,74.409756097561,18802.8619327657
PRT,Portugal,YR2011,3.65301100430724,18.4202528742093,12.2480764389038,80.4707317073171,26769.5118850004
POL,Poland,YR2011,4.2394014962594,20.4930868842931,12.3105039596558,76.6951219512195,22658.3773208623
NOR,Norway,YR2011,1.28495158809152,21.3819281554801,11.3563146591187,81.2951219512195,62460.0908157002
NLD,Netherlands,YR2011,2.34107017751373,20.137339530936,11.6830587387085,81.2048780487805,46599.02103045
MDA,Moldova,YR2011,7.6872510335618,23.1620459782063,21.4006881713867,69.192,6832.94156502961
MLT,Malta,YR2011,2.9629852819288,18.1621555668023,13.4512243270874,80.7463414634146,28973.1666967941
LUX,Luxembourg,YR2011,3.41068341068342,19.213253764947,12.073920249939,80.9878048780488,94475.0302265023
LTU,Lithuania,YR2011,4.13027562645085,18.4598843675776,13.1314840316772,73.5634146341464,22884.8755910695
LVA,Latvia,YR2011,4.3707355993922,22.9996043279039,14.2099361419678,73.5756097560976,19248.4580124625
KAZ,Kazakhstan,YR2011,8.4248876191979,21.4647023620078,18.1045742034912,68.69,20779.4442514491
ITA,Italy,YR2011,2.78063272879323,19.7138715145081,8.25843811035156,82.1878048780488,36598.0149693024
IRL,Ireland,YR2011,2.5571888318692,16.6897375295747,11.1878843307495,80.7463414634146,45116.9884078781
ISL,Iceland,YR2011,4.0010266434312,15.3675300643141,14.0724515914917,82.3585365853659,40936.867830513
HUN,Hungary,YR2011,3.9299209893507,19.5372960076462,10.2943744659424,74.8585365853659,23029.4471782091
GRC,Greece,YR2011,3.3298532335065,13.676151054553,8.20070362091064,80.7317073170732,25671.5160853562
DEU,Germany,YR2011,2.07517283735874,20.3708475029329,9.51164531707764,80.4365853658537,42541.5310884096
GEO,Georgia,YR2011,8.5429333333333,20.3138307684458,9.26516628265381,72.39,8360.29720703065
FRA,France,YR2011,2.11159795174994,22.4238705499354,9.73781490325928,82.1146341463415,37439.2331426991
FIN,Finland,YR2011,3.41680754255211,22.6163900645461,11.9793186187744,80.4707317073171,40916.8385790274
EST,Estonia,YR2011,4.9819013145361,26.4577338142438,16.2565689086914,76.2292682926829,24557.2361475947
DNK,Denmark,YR2011,2.7586822605125,18.1582284399495,12.0839557647705,79.8,44403.3848413929
CZE,Czechia,YR2011,1.9172191363555,26.7548641503888,10.6301145553589,77.8731707317073,29001.3680365492
CYP,Cyprus,YR2011,3.28944939564213,19.0363011564946,14.8708009719849,79.999,33313.4765625
HRV,Croatia,YR2011,2.2727272727273,19.8687531990383,10.4674768447876,76.7756097560976,21139.9671117447
BGR,Bulgaria,YR2011,4.21990346601873,20.8392514705093,9.98612213134766,74.1634146341463,15747.3923747037
BEL,Belgium,YR2011,3.53208210722742,23.0103748246525,11.2295703887939,80.5853658536585,40942.372710454
AUT,Austria,YR2011,3.2865791487538,22.4717154486786,9.80349922180176,80.9829268292683,44452.7327457999
ALB,Albania,YR2011,3.42912324722163,29.3662326698569,11.1068429946899,78.092,10207.7247723504
GBR,United Kingdom,YR2012,2.5732347965453,15.7563538861479,12.2744722366333,80.9048780487805,38343.0869033484
UKR,Ukraine,YR2012,0.568727971803862,19.4035210842878,14.9290056228638,70.9441463414634,9681.5224609375
TUR,Turkiye,YR2012,8.89156996512163,27.0584142508651,12.1358814239502,75.678,20627.4920606022
CHE,Switzerland,YR2012,-0.692552018105253,26.2689032426508,15.3788661956787,82.6975609756098,59440.9158607666
SWE,Sweden,YR2012,0.888377506923638,22.7235227830726,12.6309471130371,81.7048780487805,45432.4319692761
ESP,Spain,YR2012,2.44612782366809,18.5275200173794,8.55840301513672,82.4268292682927,31720.2738156972
SVN,Slovenia,YR2012,2.59741386039003,19.0317166406387,12.9351224899292,80.1243902439024,29042.8202729641
SVK,Slovak Republic,YR2012,3.6061026352289,20.3685136972936,9.77054595947266,76.109756097561,26994.0577496344
RUS,Russian Federation,YR2012,5.0747430079914,21.5611849041311,9.50432300567627,70.0721951219512,24303.47265625
ROU,Romania,YR2012,3.33492267693442,27.0068973376576,7.88751125335693,74.4121951219512,19809.1466866608
PRT,Portugal,YR2012,2.77333854051586,15.8242199472287,11.0157775878906,80.3731707317073,26438.0163019973
POL,Poland,YR2012,3.56037151702783,19.5822138610153,12.4844741821289,76.7463414634146,23589.1475743289
NOR,Norway,YR2012,0.696864111498362,22.3052199034421,11.2804746627808,81.4512195121951,65774.3520746224
NLD,Netherlands,YR2012,2.45554765291604,18.7613137590625,11.7369089126587,81.1048780487805,47272.1030187972
MDA,Moldova,YR2012,4.54633427355302,23.6339113929057,20.8434753417969,69.143,7254.66249032313
MLT,Malta,YR2012,2.37582057760386,17.6059971470994,13.3912057876587,80.7463414634146,30243.8112734791
LUX,Luxembourg,YR2012,2.66284165508021,19.1775316113029,12.1642942428589,81.3926829268293,96636.426643956
LTU,Lithuania,YR2012,3.08998277055417,17.3241686968124,14.9880838394165,73.8634146341464,24703.7403952162
LVA,Latvia,YR2012,2.25778924374595,26.0257324526425,14.7431201934814,73.7780487804878,21290.5016471166
KAZ,Kazakhstan,YR2012,5.09791484975817,22.8031563737231,19.2528705596924,69.52,22021.2814880974
ITA,Italy,YR2012,3.04136333226775,18.3090594460448,8.01842975616455,82.2390243902439,36486.2967870302
IRL,Ireland,YR2012,1.69620897294548,19.622765247136,11.9318771362305,80.8463414634146,46283.7289661063
ISL,Iceland,YR2012,5.18589988750698,15.9829182811949,14.5596466064453,82.9170731707317,42004.4476110597
HUN,Hungary,YR2012,5.65214517088646,19.1496970803263,9.5221004486084,75.0634146341463,23267.448392909
GRC,Greece,YR2012,1.50152696177758,11.5296303596724,8.08769798278809,80.6341463414634,24911.119631324
DEU,Germany,YR2012,2.00848884782956,20.3210930641713,9.51723003387451,80.5390243902439,43359.6148271723
GEO,Georgia,YR2012,-0.943658853270964,22.1149361119171,9.82021331787109,72.412,9818.48046574915
FRA,France,YR2012,1.9541953161351,22.4581147872179,9.61224365234375,81.9682926829268,37677.7267932587
FIN,Finland,YR2012,2.80833622561574,23.0778413923805,11.5580825805664,80.6268292682927,40873.0953326066
EST,Estonia,YR2012,3.93339987296985,28.7100814760233,15.6193103790283,76.3268292682927,25996.0467779508
DNK,Denmark,YR2012,2.3979148566464,18.7777009367082,12.0301713943481,80.0512195121951,44803.9682421214
CZE,Czechia,YR2012,3.28762306610411,26.1553684696565,10.1663341522217,78.0756097560976,29254.7312685144
CYP,Cyprus,YR2012,2.38905410042278,15.5052238909998,14.0066299438477,80.109,31834.5078125
HRV,Croatia,YR2012,3.41207349081358,19.271594986579,10.8154163360596,76.9243902439024,21509.8915802731
BGR,Bulgaria,YR2012,2.95456829831022,21.1224402920965,9.66042137145996,74.3146341463415,16327.249316632
BEL,Belgium,YR2012,2.83966343445899,22.9618874566356,11.0699214935303,80.3853658536585,42290.7620520019
BLR,Belarus,YR2012,59.2197360232518,33.4161102099333,13.0864067077637,71.9658536585366,18114.7508606708
AUT,Austria,YR2012,2.48567562177015,22.649292785658,9.77025699615479,80.9365853658537,46457.3457770311
ALB,Albania,YR2012,2.03159268395301,26.4886769391909,11.6269950866699,78.064,10526.2388106069
GBR,United Kingdom,YR2013,2.29166666666659,15.967790919415,12.1287822723389,81.0048780487805,39954.2191450769
UKR,Ukraine,YR2013,-0.238948626045407,17.3158498598174,15.1411771774292,71.159512195122,11056.5419921875
TUR,Turkiye,YR2013,7.49309030547693,28.3464820187611,10.9222631454468,76.297,22373.2465583744
CHE,Switzerland,YR2013,-0.217323155115693,26.2276028874151,15.0640153884888,82.7975609756098,61656.4661708516
SWE,Sweden,YR2013,-0.0442929701485858,22.4454837991551,12.5420961380005,81.9560975609756,46312.3923824667
ESP,Spain,YR2013,1.40858109183019,17.364945031582,8.97512054443359,83.0780487804878,32444.4611896857
SVN,Slovenia,YR2013,1.76920085881907,19.633594722471,10.6639356613159,80.3219512195122,29973.6993541529
SVK,Slovak Republic,YR2013,1.40047368963025,20.4641514783853,9.71387577056885,76.4121951219512,28019.0588412978
RUS,Russian Federation,YR2013,6.75371026220899,21.9401882834583,10.0020542144775,70.5787804878049,26073.875
ROU,Romania,YR2013,3.9847123554813,24.4261228059592,7.8434419631958,75.0634146341463,19677.1612550093
PRT,Portugal,YR2013,0.274416666666663,14.7515838386783,10.9740028381348,80.7219512195122,27936.0396644563
POL,Poland,YR2013,0.991982606332428,18.9722757627325,12.3380889892578,77.0,24319.8802935066
NOR,Norway,YR2013,2.12048620353112,23.4320551008224,11.0502948760986,81.7512195121951,67377.9262258772
NLD,Netherlands,YR2013,2.50689852657885,18.3563651559588,11.5621957778931,81.3048780487805,49241.5178406305
MDA,Moldova,YR2013,4.59787897363127,23.0338604258084,18.2398204803467,69.099,8232.5238047368
MLT,Malta,YR2013,1.1802843636655,16.5238726172369,13.6162357330322,81.7463414634146,32295.8478268844
LUX,Luxembourg,YR2013,1.73403963519162,18.4542729429366,11.3798866271973,81.8,100925.011992241
LTU,Lithuania,YR2013,1.04747937065344,18.4216939371438,14.7460718154907,73.9146341463415,26721.7002165919
LVA,Latvia,YR2013,-0.0294547782579216,24.2765465398275,14.9403123855591,73.9829268292683,22639.1590264447
